year,road_name,road_category,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,direction_of_travel,buses_and_coaches,all_HGVs,2_axle,3_axle,4_axle,5_axle,6_axle,7_axle,Mean GVW
2023,M4,TM,LA Boundary,J8/9,486000,176400,51.480029,-0.76298178,S,255,4125,1423,219,324,495,1655,8,27459.36517943744
2023,M4,TM,LA Boundary,LA Boundary,425850,179410,51.513029,-1.6288866,E,220,4720,711,179,152,731,2945,3,34821.056979453504
2023,M4,TM,LA Boundary,LA Boundary,425850,179410,51.513029,-1.6288866,W,187,4546,800,153,189,645,2757,4,34036.72075637643
2023,M5,TM,1,M5 split,402100,292000,52.52587,-1.9704776,N,94,6708,1714,428,312,756,3491,8,31141.117454166044
2023,M5,TM,1,M5 split,402100,292000,52.52587,-1.9704776,S,113,7163,1942,485,307,777,3642,10,30651.54362697194
2023,M5,TM,6,5,389552,257699,52.217402,-2.1543472,N,22,8828,1937,408,331,1154,4993,5,32710.338241957408
2023,M5,TM,6,5,389552,257699,52.217402,-2.1543472,S,20,8179,1708,363,269,842,4993,5,33598.59413202934
2023,M5,TM,13,12,378823,208915,51.778496,-2.3083562,N,41,4930,788,297,297,582,2960,7,33961.98925167309
2023,M5,TM,13,12,378823,208915,51.778496,-2.3083562,S,57,4691,825,280,274,559,2745,7,33510.7460554371
2023,M5,TM,LA Boundary,Junction 17 M5,356097,180335,51.520217,-2.6341491,E,85,5339,1212,393,354,846,2523,10,30647.00262270513
2023,M5,TM,LA Boundary,Junction 17 M5,356097,180335,51.520217,-2.6341491,W,98,5422,1006,424,444,814,2724,11,31835.8327494007
2023,M5,TM,LA Boundary,21,338400,157500,51.313262,-2.885205,N,110,4118,781,148,191,2447,547,3,27855.90842846733
2023,M5,TM,LA Boundary,21,338400,157500,51.313262,-2.885205,S,127,3625,789,160,167,1843,664,2,28048.927172413794
2023,M5,TM,30,29,296900,92000,50.718452,-3.4618292,N,93,3267,733,220,226,376,1704,7,31250.55909369259
2023,M5,TM,30,29,296900,92000,50.718452,-3.4618292,S,70,3328,1196,88,130,151,1757,5,29838.113916441238
2023,M6,TM,1,2,446200,281380,52.428458,-1.321963,E,137,9850,1615,362,417,1585,5866,6,34260.294792406865
2023,M6,TM,1,2,446200,281380,52.428458,-1.321963,W,88,9691,1860,265,418,1687,5456,5,33118.27582292849
